_id,value
ENV.2010.2.2.1-2,1
ENV.2010.2.2.1-3,1
ENV.2010.3.1.1-1,1
ENV.2010.3.1.1-2,2
ENV.2010.3.1.1-3,2
ENV.2010.3.1.1-4,2
ENV.2010.3.1.3-1,2
ENV.2010.3.1.3-2,1
ENV.2010.3.1.4-1,1
ENV.2010.3.1.4-2,1
ENV.2010.3.1.5-1,1
ENV.2010.3.1.5-2,2
ENV.2010.3.1.7-1,1
ENV.2010.3.1.8-1,1
ENV.2010.3.2.1-1,2
ENV.2010.3.3.1-1,1
ENV.2010.3.3.2-1,1
ENV.2010.4.1.1-1,1
ENV.2010.4.1.2-1,1
ENV.2010.4.1.2-2,1
ENV.2010.4.1.3-1,1
ENV.2010.4.1.3-2,1
ENV.2010.4.1.4-1,2
ENV.2010.4.2.1-1,1
ENV.2010.4.2.2-1,1
ENV.2010.4.2.3-1,3
ENV.2010.4.2.3-2,1
ENV.2010.4.2.3-3,2
ENV.2010.5.1.0-1,3
ENV.2010.5.1.0-2,2
ENV.2011.1.1.1-1,1
ENV.2011.1.1.2-1,1
ENV.2011.1.1.2-2,1
ENV.2011.1.1.3-1,1
ENV.2011.1.1.5-1,1
ENV.2011.1.1.6-1,1
ENV.2011.1.1.6-2,1
ENV.2011.1.2.1-1,1
ENV.2011.1.2.2-1,1
ENV.2011.1.2.2-2,1
ENV.2011.1.2.3-1,1
ENV.2011.1.2.3-2,1
ENV.2011.1.3.1-1,1
ENV.2011.1.3.2-1,1
ENV.2011.1.3.2-2,1
ENV.2011.1.3.3-1,1
ENV.2011.1.3.4-1,1
ENV.2011.2.1.1-1,2
ENV.2011.2.1.2-1,1
ENV.2011.2.1.4-1,1
ENV.2011.2.1.4-2,1
ENV.2011.2.1.4-3,2
ENV.2011.2.1.5-1,1
ENV.2011.2.1.5-2,1
ENV.2011.2.1.6-1,1
ENV.2011.3.1.1-1,1
ENV.2011.3.1.1-2,1
ENV.2011.3.1.9-1,14
ENV.2011.3.1.9-2,1
ENV.2011.3.1.9-3,1
ENV.2011.3.1.9-4,2
ENV.2011.4.1.1-1,1
ENV.2011.4.1.3-1,1
ENV.2011.4.1.4-1,1
ENV.2011.4.1.4-2,1
ENV.2011.4.2.1-1,1
ENV.2011.4.2.2-1,1
ENV.2011.4.2.3-1,5
ENV.2011.5.1.0-1,2
ENV.2012.6.1-1,3
ENV.2012.6.1-2,2
ENV.2012.6.1-3,3
ENV.2012.6.1-4,2
ENV.2012.6.1-5,1
ENV.2012.6.1-6,1
ENV.2012.6.2-1,2
ENV.2012.6.2-2,1
ENV.2012.6.2-3,1
ENV.2012.6.2-4,1
ENV.2012.6.2-5,1
ENV.2012.6.2-6,2
ENV.2012.6.3-1,14
ENV.2012.6.3-2,3
ENV.2012.6.3-3,1
ENV.2012.6.3-4,1
ENV.2012.6.3-5,1
ENV.2012.6.4-1,2
ENV.2012.6.4-2,3
ENV.2012.6.4-3,2
ENV.2012.6.5-1,5
ENV.2012.6.5-2,5
ENV.2012.6.5-4,1
ENV.2012.6.6-1,5
ENV.2013.6.1-1,3
ENV.2013.6.1-2,3
ENV.2013.6.1-3,3
ENV.2013.6.1-4,1
ENV.2013.6.1-5,1
ENV.2013.6.1-6,1
ENV.2013.6.2-1,2
ENV.2013.6.2-2,1
ENV.2013.6.2-3,4
ENV.2013.6.2-4,1
ENV.2013.6.2-5,1
ENV.2013.6.2-6,1
ENV.2013.6.2-7,1
ENV.2013.6.2-8,1
ENV.2013.6.3-1,10
ENV.2013.6.3-2,4
ENV.2013.6.3-3,1
ENV.2013.6.4-1,1
ENV.2013.6.4-2,1
ENV.2013.6.4-3,3
ENV.2013.6.4-4,2
ENV.2013.6.5-1,3
ENV.2013.6.5-2,7
ENV.2013.6.5-3,3
ENV.2013.6.5-4,3
ENV.2013.6.5-5,1
ENV.2013.6.5-6,1
ENV.2013.WATER INNO&DEMO-1,10
ENV.2013.WATER INNO&DEMO-2,1
ERA-FC.2011.1,1
ERA-GPC.2010.1,1
ERA-JP.2012.1,1
ERA-NET.2010.1,1
ERACHAIRS-2013-1,11
ERANET,2
ERANET.2007.1,2
ERANET.2007.2,1
ERANET.2008.1,6
ERANET.2008.2,2
ERANET.2008.4,3
ERARESORG.2007.1,1
ERC-2012-SyG,11
ERC-2013-SyG,13
ERC-AG-ID1,80
ERC-AG-LS1,68
ERC-AG-LS2,61
ERC-AG-LS3,55
ERC-AG-LS4,66
ERC-AG-LS5,79
ERC-AG-LS6,69
ERC-AG-LS7,89
ERC-AG-LS8,65
ERC-AG-LS9,41
ERC-AG-PE1,96
ERC-AG-PE10,65
ERC-AG-PE2,93
ERC-AG-PE3,80
ERC-AG-PE4,62
ERC-AG-PE5,88
ERC-AG-PE6,65
ERC-AG-PE7,50
ERC-AG-PE8,78
ERC-AG-PE9,60
ERC-AG-SH1,54
ERC-AG-SH2,58
ERC-AG-SH3,23
ERC-AG-SH4,68
ERC-AG-SH5,37
ERC-AG-SH6,59
ERC-CG-2013-LS1,10
ERC-CG-2013-LS2,13
ERC-CG-2013-LS3,11
ERC-CG-2013-LS4,14
ERC-CG-2013-LS5,16
ERC-CG-2013-LS6,13
ERC-CG-2013-LS7,15
ERC-CG-2013-LS8,14
ERC-CG-2013-LS9,9
ERC-CG-2013-PE1,12
ERC-CG-2013-PE10,15
ERC-CG-2013-PE2,19
ERC-CG-2013-PE3,16
ERC-CG-2013-PE4,12
ERC-CG-2013-PE5,13
ERC-CG-2013-PE6,17
ERC-CG-2013-PE7,8
ERC-CG-2013-PE8,15
ERC-CG-2013-PE9,12
ERC-CG-2013-SH1,11
ERC-CG-2013-SH2,12
ERC-CG-2013-SH3,6
ERC-CG-2013-SH4,12
ERC-CG-2013-SH5,9
ERC-CG-2013-SH6,9
ERC-OA-2008-EPS,2
ERC-OA-2011-PoC,51
ERC-OA-2012-PoC,60
ERC-OA-2013-Gender,1
ERC-OA-2013-PoC,67
ERC-SG-ID1,50
ERC-SG-LS1,110
ERC-SG-LS2,101
ERC-SG-LS3,83
ERC-SG-LS4,95
ERC-SG-LS5,115
ERC-SG-LS6,90
