_id.programme,_id.year,count,totalCost,avgTotalCost,stdDevTotalCost,minTotalCost,maxTotalCost,ecMaxContribution,avgEcMaxContribution,stdDevEcMaxContribution,minEcMaxContribution,maxEcMaxContribution,programeDesc.RCN,programeDesc.Code,programeDesc.Title,programeDesc.ShortTitle
FP7-INFRASTRUCTURES,2017,14,1.39984734e+08,9.99890957142857e+06,4.0042284969654935e+06,6.45264e+06,2.3400922e+07,9.8981253e+07,7.0700895e+06,1.2069936704324954e+06,4.998502e+06,9e+06,,FP7-INFRASTRUCTURES,"Programme spécifique ""Capacités"": Infrastructures de recherche",Infrastructures de recherche
FP7-EURATOM-FISSION,2017,14,9.9149718e+07,7.082122714285715e+06,3.8725289335062695e+06,645589,1.4730136e+07,5.6807948e+07,4.0577105714285714e+06,2.2006625841786093e+06,530000,8e+06,,FP7-EURATOM-FISSION,EURATOM: Fission nucléaire et radioprotection,Fission nucléaire et radioprotection
FP7-SPACE,2008,14,1.13080767e+08,8.077197642857143e+06,1.3577777741301795e+07,56200,4.8e+07,9.4684067e+07,6.763147642857143e+06,1.263960489822788e+07,50000,4.8e+07,,FP7-SPACE,"Programme spécifique ""Coopération"": Espace",Espace
FP7-INFRASTRUCTURES,2007,13,6.1900755e+07,4.761596538461538e+06,2.6164950056274966e+06,122148,8.767158e+06,4.4063305e+07,3.389485e+06,1.7427199641291064e+06,91611,6e+06,,FP7-INFRASTRUCTURES,"Programme spécifique ""Capacités"": Infrastructures de recherche",Infrastructures de recherche
FP7-SME,2017,13,3.0436318e+07,2.341255230769231e+06,449424.02596659627,1.648729e+06,3.054998e+06,2.2981233e+07,1.7677871538461538e+06,346376.33091943094,1.289975e+06,2.347999e+06,,FP7-SME,"Programme spécifique ""Capacités"": Recherche en faveur des PME",Recherche en faveur des PME
FP7-COH,2011,13,2.2803624e+07,1.754124923076923e+06,2.247945747204646e+06,204527,7.072114e+06,1.8212813e+07,1.4009856153846155e+06,1.6795187251068517e+06,150000,5.35928e+06,,FP7-COH,"Programme spécifique ""Capacités"": Soutien au développement cohérent des politiques de recherche",Soutien au développement cohérent des politiques de recherche
FP7-REGIONS,2016,12,3.2604335e+07,2.7170279166666665e+06,391461.4449690328,2.095406e+06,3.306893e+06,2.8526111e+07,2.3771759166666665e+06,325016.291833568,1.951263e+06,2.883782e+06,,FP7-REGIONS,"Programme spécifique ""Capacités"": Régions de la connaissance",Régions de la connaissance
FP7-COH,2012,12,2.5779609e+07,2.14830075e+06,2.689593050705352e+06,204527,7.072114e+06,2.0013095e+07,1.6677579166666667e+06,2.014394121802817e+06,150000,5.35928e+06,,FP7-COH,"Programme spécifique ""Capacités"": Soutien au développement cohérent des politiques de recherche",Soutien au développement cohérent des politiques de recherche
FP7-COH,2009,11,2.0955336e+07,1.9050305454545454e+06,2.4089541016872623e+06,187500,7.072114e+06,1.6263646e+07,1.4785132727272727e+06,1.815568648508485e+06,150000,5.35928e+06,,FP7-COH,"Programme spécifique ""Capacités"": Soutien au développement cohérent des politiques de recherche",Soutien au développement cohérent des politiques de recherche
FP7-COH,2010,11,2.1307529e+07,1.9370480909090908e+06,2.393608381396075e+06,215193,7.072114e+06,1.7062813e+07,1.5511648181818181e+06,1.7760102049172833e+06,200000,5.35928e+06,,FP7-COH,"Programme spécifique ""Capacités"": Soutien au développement cohérent des politiques de recherche",Soutien au développement cohérent des politiques de recherche
